
TEST
Elepticheskai:
time:0
iteration:15
error:-4,1278408258782726E-14
____________________________________________________________
|__________(r,z)|____________Q|________RealF|_______Q-RealF|
|(1,0000;1,0000)|  1,000646666|  1,000000000|   0,000646666|
|(1,1667;1,0000)|  1,588346564|  1,587962963|   0,000383601|
|(1,3333;1,0000)|  2,371043219|  2,370370370|   0,000672849|
|(1,6667;1,0000)|  4,624037994|  4,629629630|  -0,005591636|
|(2,0000;1,0000)|  8,000000000|  8,000000000|   0,000000000|
|(1,0000;1,1667)|  1,000646666|  1,000000000|   0,000646666|
|(1,1667;1,1667)|  1,588346564|  1,587962963|   0,000383601|
|(1,3333;1,1667)|  2,371043219|  2,370370370|   0,000672849|
|(1,6667;1,1667)|  4,624037994|  4,629629630|  -0,005591636|
|(2,0000;1,1667)|  8,000000000|  8,000000000|   0,000000000|
|(1,0000;1,3333)|  1,000646666|  1,000000000|   0,000646666|
|(1,1667;1,3333)|  1,588346564|  1,587962963|   0,000383601|
|(1,3333;1,3333)|  2,371043219|  2,370370370|   0,000672849|
|(1,6667;1,3333)|  4,624037994|  4,629629630|  -0,005591636|
|(2,0000;1,3333)|  8,000000000|  8,000000000|   0,000000000|
|(1,0000;1,6667)|  1,000646666|  1,000000000|   0,000646666|
|(1,1667;1,6667)|  1,588346564|  1,587962963|   0,000383601|
|(1,3333;1,6667)|  2,371043219|  2,370370370|   0,000672849|
|(1,6667;1,6667)|  4,624037994|  4,629629630|  -0,005591636|
|(2,0000;1,6667)|  8,000000000|  8,000000000|   0,000000000|
|(1,0000;2,0000)|  1,000646666|  1,000000000|   0,000646666|
|(1,1667;2,0000)|  1,588346564|  1,587962963|   0,000383601|
|(1,3333;2,0000)|  2,371043219|  2,370370370|   0,000672849|
|(1,6667;2,0000)|  4,624037994|  4,629629630|  -0,005591636|
|(2,0000;2,0000)|  8,000000000|  8,000000000|   0,000000000|

residual=3,413679143018914E-07

TEST
Elepticheskai:
time:0
iteration:19
error:2,3637625161709115E-13
____________________________________________________________
|__________(r,z)|____________Q|________RealF|_______Q-RealF|
|(1,0000;1,0000)|  1,000072785|  1,000000000|   0,000072785|
|(1,1667;1,0000)|  1,587764697|  1,587962963|  -0,000198266|
|(1,3333;1,0000)|  2,370437160|  2,370370370|   0,000066789|
|(1,5000;1,0000)|  3,374711845|  3,375000000|  -0,000288155|
|(1,6667;1,0000)|  4,629674882|  4,629629630|   0,000045252|
|(1,8333;1,0000)|  6,161639633|  6,162037037|  -0,000397404|
|(2,0000;1,0000)|  8,000000000|  8,000000000|  -0,000000000|
|(1,0000;1,1667)|  1,000072785|  1,000000000|   0,000072785|
|(1,1667;1,1667)|  1,587764697|  1,587962963|  -0,000198266|
|(1,3333;1,1667)|  2,370437160|  2,370370370|   0,000066789|
|(1,5000;1,1667)|  3,374711845|  3,375000000|  -0,000288155|
|(1,6667;1,1667)|  4,629674882|  4,629629630|   0,000045252|
|(1,8333;1,1667)|  6,161639633|  6,162037037|  -0,000397404|
|(2,0000;1,1667)|  8,000000000|  8,000000000|  -0,000000000|
|(1,0000;1,3333)|  1,000072785|  1,000000000|   0,000072785|
|(1,1667;1,3333)|  1,587764697|  1,587962963|  -0,000198266|
|(1,3333;1,3333)|  2,370437160|  2,370370370|   0,000066789|
|(1,5000;1,3333)|  3,374711845|  3,375000000|  -0,000288155|
|(1,6667;1,3333)|  4,629674882|  4,629629630|   0,000045252|
