
u=x^5+y^5+t^2
Parobolicheskai:
time:0
iteration:0
error:0
____________________________________________________________
|__________(r,z)|____________Q|________RealF|_______Q-RealF|
|(1,0000;1,0000)|  2,000000000|  2,000000000|   0,000000000|
|(1,0313;1,0000)|  2,166325599|  2,166325599|   0,000000000|
|(1,0625;1,0000)|  2,354081154|  2,354081154|   0,000000000|
|(1,0938;1,0000)|  2,565273851|  2,565273851|   0,000000000|
|(1,1250;1,0000)|  2,802032471|  2,802032471|   0,000000000|
|(1,1563;1,0000)|  3,066610962|  3,066610962|   0,000000000|
|(1,1875;1,0000)|  3,361392021|  3,361392021|   0,000000000|
|(1,2188;1,0000)|  3,688890666|  3,688890666|   0,000000000|
|(1,2500;1,0000)|  4,051757813|  4,051757813|   0,000000000|
|(1,2813;1,0000)|  4,452783853|  4,452783853|   0,000000000|
|(1,3125;1,0000)|  4,894902229|  4,894902229|   0,000000000|
|(1,3438;1,0000)|  5,381193012|  5,381193012|   0,000000000|
|(1,3750;1,0000)|  5,914886475|  5,914886475|   0,000000000|
|(1,4063;1,0000)|  6,499366671|  6,499366671|   0,000000000|
|(1,4375;1,0000)|  7,138175011|  7,138175011|   0,000000000|
|(1,4688;1,0000)|  7,835013837|  7,835013837|   0,000000000|
|(1,5000;1,0000)|  8,593750000|  8,593750000|   0,000000000|
|(1,5313;1,0000)|  9,418418437|  9,418418437|   0,000000000|
|(1,5625;1,0000)|  10,313225746|  10,313225746|   0,000000000|
|(1,5938;1,0000)|  11,282553762|  11,282553762|   0,000000000|
|(1,6250;1,0000)|  12,330963135|  12,330963135|   0,000000000|
|(1,6563;1,0000)|  13,463196903|  13,463196903|   0,000000000|
|(1,6875;1,0000)|  14,684184074|  14,684184074|   0,000000000|
|(1,7188;1,0000)|  15,999043196|  15,999043196|   0,000000000|
|(1,7500;1,0000)|  17,413085938|  17,413085938|   0,000000000|
|(1,7813;1,0000)|  18,931820661|  18,931820661|   0,000000000|
|(1,8125;1,0000)|  20,560956001|  20,560956001|   0,000000000|
|(1,8438;1,0000)|  22,306404442|  22,306404442|   0,000000000|
|(1,8750;1,0000)|  24,174285889|  24,174285889|   0,000000000|
|(1,9063;1,0000)|  26,170931250|  26,170931250|   0,000000000|
|(1,9375;1,0000)|  28,302886009|  28,302886009|   0,000000000|
|(1,9688;1,0000)|  30,576913804|  30,576913804|   0,000000000|
|(2,0000;1,0000)|  33,000000000|  33,000000000|   0,000000000|
|(1,0000;1,0313)|  2,166325599|  2,166325599|   0,000000000|
|(1,0313;1,0313)|  2,332651198|  2,332651198|   0,000000000|
|(1,0625;1,0313)|  2,520406753|  2,520406753|   0,000000000|
|(1,0938;1,0313)|  2,731599450|  2,731599450|   0,000000000|
|(1,1250;1,0313)|  2,968358070|  2,968358070|   0,000000000|
|(1,1563;1,0313)|  3,232936561|  3,232936561|   0,000000000|
|(1,1875;1,0313)|  3,527717620|  3,527717620|   0,000000000|
|(1,2188;1,0313)|  3,855216265|  3,855216265|   0,000000000|
|(1,2500;1,0313)|  4,218083411|  4,218083411|   0,000000000|
|(1,2813;1,0313)|  4,619109452|  4,619109452|   0,000000000|
|(1,3125;1,0313)|  5,061227828|  5,061227828|   0,000000000|
|(1,3438;1,0313)|  5,547518611|  5,547518611|   0,000000000|
|(1,3750;1,0313)|  6,081212074|  6,081212074|   0,000000000|
|(1,4063;1,0313)|  6,665692270|  6,665692270|   0,000000000|
|(1,4375;1,0313)|  7,304500610|  7,304500610|   0,000000000|
|(1,4688;1,0313)|  8,001339436|  8,001339436|   0,000000000|
|(1,5000;1,0313)|  8,760075599|  8,760075599|   0,000000000|
|(1,5313;1,0313)|  9,584744036|  9,584744036|   0,000000000|
|(1,5625;1,0313)|  10,479551345|  10,479551345|   0,000000000|
|(1,5938;1,0313)|  11,448879361|  11,448879361|   0,000000000|
|(1,6250;1,0313)|  12,497288734|  12,497288734|   0,000000000|
|(1,6563;1,0313)|  13,629522502|  13,629522502|   0,000000000|
|(1,6875;1,0313)|  14,850509673|  14,850509673|   0,000000000|
|(1,7188;1,0313)|  16,165368795|  16,165368795|   0,000000000|
|(1,7500;1,0313)|  17,579411536|  17,579411536|   0,000000000|
|(1,7813;1,0313)|  19,098146260|  19,098146260|   0,000000000|
|(1,8125;1,0313)|  20,727281600|  20,727281600|   0,000000000|
|(1,8438;1,0313)|  22,472730041|  22,472730041|   0,000000000|
|(1,8750;1,0313)|  24,340611488|  24,340611488|   0,000000000|
|(1,9063;1,0313)|  26,337256849|  26,337256849|   0,000000000|
|(1,9375;1,0313)|  28,469211608|  28,469211608|   0,000000000|
|(1,9688;1,0313)|  30,743239403|  30,743239403|   0,000000000|
|(2,0000;1,0313)|  33,166325599|  33,166325599|   0,000000000|
|(1,0000;1,0625)|  2,354081154|  2,354081154|   0,000000000|
|(1,0313;1,0625)|  2,520406753|  2,520406753|   0,000000000|
|(1,0625;1,0625)|  2,708162308|  2,708162308|   0,000000000|
|(1,0938;1,0625)|  2,919355005|  2,919355005|   0,000000000|
|(1,1250;1,0625)|  3,156113625|  3,156113625|   0,000000000|
|(1,1563;1,0625)|  3,420692116|  3,420692116|   0,000000000|
|(1,1875;1,0625)|  3,715473175|  3,715473175|   0,000000000|
|(1,2188;1,0625)|  4,042971820|  4,042971820|   0,000000000|
|(1,2500;1,0625)|  4,405838966|  4,405838966|   0,000000000|
|(1,2813;1,0625)|  4,806865007|  4,806865007|   0,000000000|
|(1,3125;1,0625)|  5,248983383|  5,248983383|   0,000000000|
|(1,3438;1,0625)|  5,735274166|  5,735274166|   0,000000000|
|(1,3750;1,0625)|  6,268967628|  6,268967628|   0,000000000|
|(1,4063;1,0625)|  6,853447825|  6,853447825|   0,000000000|
|(1,4375;1,0625)|  7,492256165|  7,492256165|   0,000000000|
|(1,4688;1,0625)|  8,189094990|  8,189094990|   0,000000000|
|(1,5000;1,0625)|  8,947831154|  8,947831154|   0,000000000|
|(1,5313;1,0625)|  9,772499591|  9,772499591|   0,000000000|
|(1,5625;1,0625)|  10,667306900|  10,667306900|   0,000000000|
|(1,5938;1,0625)|  11,636634916|  11,636634916|   0,000000000|
|(1,6250;1,0625)|  12,685044289|  12,685044289|   0,000000000|
|(1,6563;1,0625)|  13,817278057|  13,817278057|   0,000000000|
|(1,6875;1,0625)|  15,038265228|  15,038265228|   0,000000000|
|(1,7188;1,0625)|  16,353124350|  16,353124350|   0,000000000|
|(1,7500;1,0625)|  17,767167091|  17,767167091|   0,000000000|
|(1,7813;1,0625)|  19,285901815|  19,285901815|   0,000000000|
|(1,8125;1,0625)|  20,915037155|  20,915037155|   0,000000000|
|(1,8438;1,0625)|  22,660485595|  22,660485595|   0,000000000|
|(1,8750;1,0625)|  24,528367043|  24,528367043|   0,000000000|
|(1,9063;1,0625)|  26,525012404|  26,525012404|   0,000000000|
|(1,9375;1,0625)|  28,656967163|  28,656967163|   0,000000000|
|(1,9688;1,0625)|  30,930994958|  30,930994958|   0,000000000|
|(2,0000;1,0625)|  33,354081154|  33,354081154|   0,000000000|
|(1,0000;1,0938)|  2,565273851|  2,565273851|   0,000000000|
|(1,0313;1,0938)|  2,731599450|  2,731599450|   0,000000000|
|(1,0625;1,0938)|  2,919355005|  2,919355005|   0,000000000|
