____________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|$|         B|
|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|$|__________|
|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|$|   1,00000|
|         1|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|$|   1,50000|
|         2|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|$|   2,00000|
|         3|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|$|   1,00000|
|         4|  -0,35111|  -1,03111|  -0,35111|  -1,03111|   2,44404|  -0,42189|  -0,14366|  -0,42189|  -0,14366|$|   0,66667|
|         5|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|$|   2,00000|
|         6|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|$|   1,00000|
|         7|         0|         0|         0|         0|         0|         0|         0|   1,00000|         0|$|   1,50000|
|         8|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|$|   2,00000|
____________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|$|         B|
|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|$|__________|
|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|$|   1,00000|
|         1|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|$|   1,50000|
|         2|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|$|   2,00000|
|         3|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|$|   1,00000|
|         4|  -0,35111|  -1,03111|  -0,35111|  -1,03111|   2,44404|  -0,42189|  -0,14366|  -0,42189|  -0,14366|$|   0,66667|
|         5|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|$|   2,00000|
|         6|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|$|   1,00000|
|         7|         0|         0|         0|         0|         0|         0|         0|   1,00000|         0|$|   1,50000|
|         8|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|$|   2,00000|
____________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|$|         B|
|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|$|__________|
